Thread_ID,Block_ID,Thickness,Density,R,G,B
78,29,163.0,1.0061349693251531,60.50853658536585,78.57835365853659,219.11509146341464
79,30,163.0,1.0061349693251531,59.35899390243903,77.08673780487806,215.5344512195122
80,31,163.0,1.0061349693251531,59.46996951219512,76.39893292682927,214.71204268292684
81,32,163.0,1.0061349693251531,59.0015243902439,76.50990853658537,213.9501524390244
82,33,163.0,1.0061349693251531,58.43917682926829,75.14695121951219,211.6141768292683
83,34,163.0,1.0061349693251531,58.61204268292683,75.97042682926829,212.1626524390244
84,35,163.0,1.0061349693251531,57.19939024390244,74.12637195121951,207.88658536585365
85,36,163.0,1.0061349693251531,57.15868902439024,73.39923780487806,206.89878048780488
86,37,163.0,1.0061349693251531,56.90838414634146,73.21387195121952,206.5939024390244
87,38,163.0,1.0061349693251531,57.02210365853659,73.51051829268293,206.6865853658537
88,39,163.0,1.0061349693251531,57.73689024390244,73.3907012195122,208.1878048780488
89,40,163.0,1.0061349693251531,58.18978658536585,74.57408536585366,210.03368902439024
90,41,163.0,1.0061349693251531,58.90823170731707,75.27057926829268,212.29237804878048
91,42,163.0,1.0061349693251531,58.677286585365856,74.23414634146341,210.7728658536585
92,43,163.0,1.0061349693251531,60.2422256097561,77.56798780487804,216.51814024390245
93,44,163.0,1.0061349693251531,60.47149390243902,76.75533536585365,217.65823170731707
94,45,163.0,1.0061349693251531,61.40838414634146,77.67667682926829,219.29435975609755
95,46,163.0,1.0061349693251531,61.36615853658537,77.28353658536585,218.65807926829268
96,47,163.0,1.0061349693251531,61.30411585365854,77.06890243902438,218.23567073170733
97,48,163.0,1.0061349693251531,63.15,80.26021341463415,223.87743902439024
98,49,163.0,1.0061349693251531,62.64024390243903,79.55381097560975,222.66798780487804
99,50,163.0,1.0061349693251531,60.60121951219512,77.10411585365854,216.0240853658537
100,51,163.0,1.0061349693251531,59.11890243902439,74.78399390243902,210.7294207317073
101,52,163.0,1.0061349693251531,61.39725609756098,77.74740853658537,219.2966463414634
102,53,163.0,1.0061349693251531,61.41509146341463,77.23826219512195,218.61829268292684
104,3,165.0,1.006060606060606,57.48192771084337,73.1625,205.91506024096387
105,4,165.0,1.006060606060606,59.60602409638554,75.64231927710843,213.3090361445783
106,5,165.0,1.006060606060606,60.2125,76.1375,214.89186746987951
107,6,165.0,1.006060606060606,61.54683734939759,77.65015060240964,219.125
108,7,165.0,1.006060606060606,62.11355421686747,78.43253012048193,221.1899096385542
109,8,165.0,1.006060606060606,63.17364457831325,79.84894578313254,224.47515060240963
110,9,165.0,1.006060606060606,63.84668674698795,80.20737951807229,226.695030120482
111,10,165.0,1.006060606060606,63.96897590361446,80.73343373493977,226.7530120481928
112,11,165.0,1.006060606060606,64.65843373493976,81.22786144578313,228.78012048192767
113,12,165.0,1.006060606060606,65.24759036144579,82.60632530120482,231.08975903614456
114,13,165.0,1.006060606060606,65.08960843373494,82.56957831325302,230.99593373493977
115,14,165.0,1.006060606060606,65.667921686747,83.54849397590361,233.2323795180723
116,15,165.0,1.006060606060606,65.78659638554217,83.28509036144578,232.7917168674699
117,16,165.0,1.006060606060606,65.96746987951808,84.30798192771084,234.469578313253
118,17,165.0,1.006060606060606,66.36551204819277,84.76310240963855,235.51731927710844
119,18,165.0,1.006060606060606,65.88027108433735,83.85481927710843,233.66807228915664
120,19,165.0,1.006060606060606,65.78689759036145,84.22243975903615,234.0209337349397
121,20,165.0,1.006060606060606,65.75466867469879,84.16295180722892,233.6998493975904
122,21,165.0,1.006060606060606,65.46927710843373,83.4019578313253,232.8661144578313
123,22,165.0,1.006060606060606,64.37349397590361,81.83222891566265,229.39503012048192
124,23,165.0,1.006060606060606,63.52861445783133,81.84186746987952,227.88192771084337
125,24,165.0,1.006060606060606,62.90813253012048,81.41566265060241,225.8414156626506
126,25,165.0,1.006060606060606,62.48870481927711,80.30963855421686,224.1396084337349
127,26,165.0,1.006060606060606,61.51882530120482,79.29111445783133,220.992921686747
128,27,165.0,1.006060606060606,60.66460843373494,78.04397590361445,218.0344879518072
129,28,165.0,1.006060606060606,60.48719879518072,78.15135542168674,217.96596385542168
130,29,165.0,1.006060606060606,59.53463855421687,76.92123493975903,214.2894578313253
131,30,165.0,1.006060606060606,58.62484939759036,74.98509036144578,210.69292168674696
132,31,165.0,1.006060606060606,57.53734939759036,73.5144578313253,206.6335843373494
133,32,165.0,1.006060606060606,56.98584337349398,73.39051204819278,205.1394578313253
134,33,165.0,1.006060606060606,56.952259036144575,73.86219879518072,205.5246987951807
135,34,165.0,1.006060606060606,56.00015060240964,72.59683734939759,201.8347891566265
136,35,165.0,1.006060606060606,55.84427710843374,72.4703313253012,201.4028614457832
137,36,165.0,1.006060606060606,55.59292168674699,71.41957831325301,200.0060240963856
138,37,165.0,1.006060606060606,55.63253012048193,71.8644578313253,200.98765060240964
